0,|(0,0)|,1,STEREOPAIR
1,|(1,2)|,2,STEREOPAIR
2,|(3,3)|,1,STEREOPAIR
3,|(4,75)|,72,STEREOPAIR
4,|(76,147)|,72,STEREOPAIR
5,|(148,246)|,99,STEREOPAIR
6,|(247,345)|,99,STEREOPAIR
7,|(346,444)|,99,STEREOPAIR
8,|(445,543)|,99,STEREOPAIR
9,|(544,544)|,1,STEREOPAIR
10,|(545,546)|,2,STEREOPAIR
11,|(547,552)|,6,STEREOPAIR
12,|(553,554)|,2,STEREOPAIR
13,|(555,555)|,1,STEREOPAIR
14,|(556,627)|,72,STEREOPAIR
15,|(628,699)|,72,STEREOPAIR
16,|(700,798)|,99,STEREOPAIR
17,|(799,897)|,99,STEREOPAIR
18,|(898,996)|,99,STEREOPAIR
19,|(997,1095)|,99,STEREOPAIR
20,|(1096,1096)|,1,STEREOPAIR
21,|(1097,1097)|,1,STEREOPAIR
22,|(1098,1098)|,1,STEREOPAIR
23,|(1099,1100)|,2,STEREOPAIR
24,|(1101,1236)|,136,STEREOPAIR
25,|(1237,1238)|,2,STEREOPAIR
26,|(1239,1240)|,2,STEREOPAIR
27,|(1241,1241)|,1,STEREOPAIR
28,|(1242,1243)|,2,STEREOPAIR
29,|(1244,1244)|,1,STEREOPAIR
30,|(1245,1253)|,9,STEREOPAIR
31,|(1254,1255)|,2,STEREOPAIR
32,|(1256,1391)|,136,STEREOPAIR
33,|(1392,1393)|,2,STEREOPAIR
34,|(1394,1394)|,1,STEREOPAIR
35,|(1395,1396)|,2,STEREOPAIR
36,|(1397,1532)|,136,STEREOPAIR
37,|(1533,1533)|,1,STEREOPAIR
38,|(1534,1534)|,1,STEREOPAIR
39,|(1535,1670)|,136,STEREOPAIR
40,|(1671,1671)|,1,STEREOPAIR
41,|(1672,1672)|,1,STEREOPAIR
42,|(1673,1674)|,2,STEREOPAIR
43,|(1675,1808)|,134,STEREOPAIR
44,|(1809,1810)|,2,STEREOPAIR
45,|(1811,1812)|,2,STEREOPAIR
46,|(1813,1813)|,1,STEREOPAIR
47,|(1814,1817)|,4,STEREOPAIR
48,|(1818,1822)|,5,STEREOPAIR
49,|(1823,1824)|,2,STEREOPAIR
50,|(1825,1954)|,130,STEREOPAIR
51,|(1955,1956)|,2,STEREOPAIR
52,|(1957,1958)|,2,STEREOPAIR
53,|(1959,2082)|,124,STEREOPAIR
54,|(2083,2083)|,1,STEREOPAIR
55,|(2084,2084)|,1,STEREOPAIR
56,|(2085,2220)|,136,STEREOPAIR
57,|(2221,2221)|,1,STEREOPAIR
58,|(2222,2357)|,136,STEREOPAIR
59,|(2358,2358)|,1,STEREOPAIR
60,|(2359,2494)|,136,STEREOPAIR
61,|(2495,2495)|,1,STEREOPAIR
62,|(2496,2631)|,136,STEREOPAIR
63,|(2632,2632)|,1,STEREOPAIR
64,|(2633,2768)|,136,STEREOPAIR
65,|(2769,2769)|,1,STEREOPAIR
66,|(2770,2916)|,147,STEREOPAIR
67,|(2917,2917)|,1,STEREOPAIR
68,|(2918,2918)|,1,STEREOPAIR
69,|(2919,2919)|,1,STEREOPAIR
70,|(2920,2920)|,1,STEREOPAIR
71,|(2921,3088)|,168,STEREOPAIR
72,|(3089,3089)|,1,STEREOPAIR
73,|(3090,3256)|,167,STEREOPAIR
74,|(3257,3257)|,1,STEREOPAIR
75,|(3258,3258)|,1,STEREOPAIR
76,|(3259,3259)|,1,STEREOPAIR
77,|(3260,3260)|,1,STEREOPAIR
78,|(3261,3428)|,168,STEREOPAIR
79,|(3429,3432)|,4,STEREOPAIR
80,|(3433,3433)|,1,STEREOPAIR
81,|(3434,3599)|,166,STEREOPAIR
82,|(3600,3639)|,40,STEREOPAIR
83,|(3640,3640)|,1,STEREOPAIR
84,|(3641,3641)|,1,STEREOPAIR
85,|(3642,3642)|,1,STEREOPAIR
86,|(3643,3795)|,153,STEREOPAIR
87,|(3796,3796)|,1,STEREOPAIR
88,|(3797,3797)|,1,STEREOPAIR
89,|(3798,3798)|,1,STEREOPAIR
90,|(3799,3799)|,1,STEREOPAIR
91,|(3800,3800)|,1,STEREOPAIR
92,|(3801,3968)|,168,STEREOPAIR
93,|(3969,3969)|,1,STEREOPAIR
94,|(3970,3970)|,1,STEREOPAIR
